user_id,region,latitude,longitude,urban_rural,age_group,gender,income_bracket,job_type,adoption_willingness,payment_preference,price_sensitivity,adoption_velocity_days,monthly_active_rate,weekly_active_rate,monthly_churn_rate,retention_30_day,retention_60_day,retention_90_day,referral_rate,purchase_frequency_monthly,avg_spend_per_transaction,willingness_to_pay,price_dropoff_50_percent,regional_gdp_per_capita,smartphone_penetration,tech_access_score,persona_profile,created_timestamp
72aa3d4a,Jos,9.9013,8.8915,Rural,18-24,Female,Low (<50K),Unemployed,3.22,Cash,4.24,3,0.233,0.093,0.127,0.873,0.781,0.505,0.244,2.65,566,457,526,4800,0.65,88,Price-Conscious Consumer,2024-11-28 10:21:45.984161
f1d26b10,Abuja,9.0386,7.4613,Urban,25-34,Male,Low (<50K),Civil Servant,3.62,Bank Transfer,4.73,4,0.487,0.346,0.139,0.861,0.61,0.406,0.385,1.73,345,388,408,12000,0.8,100,Price-Conscious Consumer,2025-06-18 10:21:45.984736
6b242e60,Ilorin,8.4408,4.563,Urban,35-44,Female,High (500K+),Civil Servant,4.59,Card Payment,1.76,3,0.293,0.183,0.094,0.906,0.641,0.476,0.355,6.26,9716,16584,27323,4000,0.58,86,Early Adopter,2025-01-01 10:21:45.985227
5d311167,Onitsha,6.1032,6.764,Urban,18-24,Female,Lower-Mid (50K-150K),Unemployed,4.03,Mobile Money,5.0,1,0.195,0.103,0.1,0.9,0.746,0.448,0.327,0.56,853,1555,1555,4800,0.7,85,Tech-Savvy Student,2024-12-30 10:21:45.985904
b8b19abe,Uyo,5.0027,7.9052,Urban,55-64,Female,Lower-Mid (50K-150K),Retiree,2.54,Mobile Money,4.54,1,0.426,0.254,0.111,0.889,0.665,0.496,0.209,0.35,1985,2582,2821,5800,0.68,79,Price-Conscious Consumer,2024-09-05 10:21:45.986520
be586424,Port Harcourt,4.8765,7.0611,Urban,35-44,Male,Lower-Mid (50K-150K),Professional,2.55,Bank Transfer,4.78,11,0.23,0.116,0.142,0.858,0.642,0.397,0.247,1.22,2256,2787,2907,7200,0.75,91,Urban Professional,2025-01-05 10:21:45.986954
1d50a8f7,Maiduguri,11.8337,13.2931,Urban,35-44,Male,Mid (150K-300K),Business Owner,4.38,Bank Transfer,2.79,10,0.355,0.262,0.065,0.935,0.704,0.457,0.398,2.23,3331,5504,7942,2200,0.3,48,Small Business Owner,2024-10-07 10:21:45.987476
fb0572fc,Maiduguri,11.8,13.1829,Urban,18-24,Female,Mid (150K-300K),Student,4.0,Digital Wallet,4.24,19,0.241,0.127,0.125,0.875,0.712,0.441,0.343,2.48,2817,5161,5941,2200,0.3,41,Price-Conscious Consumer,2025-08-07 10:21:45.987992
f7e00e52,Jos,9.8973,8.8804,Urban,45-54,Female,Upper-Mid (300K-500K),Business Owner,4.11,Digital Wallet,2.81,1,0.186,0.095,0.066,0.934,0.752,0.567,0.324,7.57,20605,38191,54930,4800,0.65,100,Urban Professional,2025-03-15 10:21:45.988438
273a5087,Owerri,5.4216,7.1169,Rural,25-34,Male,Low (<50K),Private Employee,2.68,Cash,5.0,3,0.413,0.211,0.165,0.835,0.644,0.484,0.254,0.83,1359,1473,1473,4100,0.65,77,Price-Conscious Consumer,2024-09-29 10:21:45.988889
fda7c814,Kano,11.9403,8.5508,Urban,25-34,Female,Upper-Mid (300K-500K),Civil Servant,3.36,Card Payment,3.38,14,0.532,0.31,0.121,0.879,0.774,0.495,0.329,4.59,3259,4259,5640,3800,0.55,100,Traditional User,2025-02-05 10:21:45.989400
40936be6,Akure,7.2506,5.3014,Urban,45-54,Female,Mid (150K-300K),Civil Servant,3.74,Card Payment,3.07,78,0.214,0.166,0.074,0.926,0.668,0.521,0.315,1.08,5227,4215,5838,4200,0.6,73,Rural Entrepreneur,2025-06-12 10:21:45.989860
1c5fb050,Port Harcourt,4.798,6.9988,Urban,35-44,Male,Upper-Mid (300K-500K),Private Employee,4.95,Mobile Money,3.69,10,0.483,0.275,0.073,0.927,0.744,0.481,0.417,4.47,4201,7718,9732,7200,0.75,81,Early Adopter,2025-08-01 10:21:45.990300
bf268dd7,Jos,9.9683,8.8232,Urban,25-34,Male,Mid (150K-300K),Civil Servant,4.77,Bank Transfer,3.83,6,0.577,0.353,0.053,0.947,0.838,0.657,0.493,3.08,1486,2715,3348,4800,0.65,80,Early Adopter,2025-08-08 10:21:45.990700
857050d8,Calabar,5.0277,8.262,Rural,45-54,Male,Mid (150K-300K),Business Owner,2.67,Cash,2.69,26,0.125,0.058,0.057,0.943,0.669,0.405,0.22,2.08,766,999,1461,4600,0.65,63,Small Business Owner,2024-10-13 10:21:45.991107
a8d25dc2,Benin City,6.3925,5.63,Urban,25-34,Female,Mid (150K-300K),Professional,3.62,Bank Transfer,3.11,3,0.556,0.417,0.07,0.93,0.805,0.533,0.425,1.17,1690,2147,2957,5500,0.68,100,Urban Professional,2025-05-09 10:21:45.991510
d5027f2d,Benin City,6.41,5.5583,Urban,65+,Female,Lower-Mid (50K-150K),Business Owner,3.2,Mobile Money,4.23,14,0.243,0.175,0.166,0.834,0.591,0.428,0.26,1.32,350,376,434,5500,0.68,40,Small Business Owner,2025-02-17 10:21:45.991953
d3fdf2b6,Port Harcourt,4.7766,7.0372,Rural,25-34,Female,Lower-Mid (50K-150K),Civil Servant,3.75,Bank Transfer,3.73,1,0.171,0.091,0.079,0.921,0.739,0.467,0.398,1.91,511,692,867,7200,0.75,97,Price-Conscious Consumer,2025-02-14 10:21:45.992400
9f08f933,Owerri,5.5303,7.1308,Rural,45-54,Male,Lower-Mid (50K-150K),Business Owner,2.6,Cash,3.54,9,0.306,0.231,0.062,0.938,0.673,0.476,0.229,2.66,392,398,514,4100,0.65,63,Small Business Owner,2024-10-09 10:21:45.993089
6bdcb05b,Onitsha,6.151,6.8264,Urban,55-64,Male,Lower-Mid (50K-150K),Retiree,3.95,Cash,4.48,27,0.293,0.231,0.184,0.816,0.658,0.458,0.355,0.45,2054,2514,2777,4800,0.7,57,Price-Conscious Consumer,2024-09-21 10:21:45.993736
6670a69c,Ilorin,8.5065,4.5766,Urban,25-34,Male,Lower-Mid (50K-150K),Civil Servant,3.81,Mobile Money,4.15,1,0.388,0.279,0.076,0.924,0.819,0.654,0.389,1.59,1493,1894,2215,4000,0.58,86,Price-Conscious Consumer,2024-10-08 10:21:45.994515
9edf0a49,Port Harcourt,4.9291,7.0589,Urban,45-54,Female,Mid (150K-300K),Business Owner,3.08,Card Payment,4.07,13,0.451,0.271,0.134,0.866,0.763,0.553,0.235,1.13,4085,5214,6185,7200,0.75,91,Small Business Owner,2025-07-13 10:21:45.994840
1704a5c4,Lagos,6.5625,3.3898,Urban,45-54,Male,Upper-Mid (300K-500K),Professional,3.9,Bank Transfer,3.26,12,0.224,0.138,0.062,0.938,0.769,0.548,0.342,2.03,1642,1597,2153,8500,0.85,100,Urban Professional,2025-05-08 10:21:45.995173
35d52d3d,Akure,7.228,5.2484,Urban,18-24,Female,Low (<50K),Informal Trader,4.18,Bank Transfer,4.93,1,0.437,0.338,0.083,0.917,0.796,0.498,0.379,1.25,1142,1426,1444,4200,0.6,95,Tech-Savvy Student,2025-06-06 10:21:45.995446
ffcf75ae,Benin City,6.3449,5.5965,Urban,25-34,Female,Lower-Mid (50K-150K),Civil Servant,1.94,Mobile Money,4.35,11,0.236,0.154,0.273,0.727,0.531,0.363,0.184,1.46,5994,5244,5923,5500,0.68,93,Price-Conscious Consumer,2025-07-19 10:21:45.995708
0709a8e2,Bauchi,10.3403,9.7831,Urban,25-34,Female,Mid (150K-300K),Private Employee,5.0,Mobile Money,1.9,3,0.23,0.179,0.058,0.942,0.664,0.419,0.559,1.86,2771,5000,8095,2500,0.32,51,Early Adopter,2024-11-02 10:21:45.995939
03b34850,Warri,5.4982,5.7629,Urban,45-54,Female,Lower-Mid (50K-150K),Civil Servant,3.57,Mobile Money,4.14,16,0.273,0.208,0.125,0.875,0.619,0.474,0.29,0.66,2510,3475,4074,6500,0.68,74,Price-Conscious Consumer,2025-03-15 10:21:45.996151
2ed7d8ab,Warri,5.5582,5.7451,Urban,18-24,Male,Lower-Mid (50K-150K),Unemployed,3.16,Mobile Money,5.0,17,0.215,0.145,0.096,0.904,0.645,0.439,0.268,0.63,1642,1576,1576,6500,0.68,83,Tech-Savvy Student,2025-02-28 10:21:45.996362
9251cbaf,Bauchi,10.3733,9.809,Rural,25-34,Male,Low (<50K),Private Employee,5.0,Mobile Money,4.61,2,0.396,0.205,0.057,0.943,0.798,0.513,0.497,0.94,257,446,480,2500,0.32,48,Early Adopter,2025-06-08 10:21:45.996571
6645a0d6,Enugu,6.4334,7.5201,Urban,25-34,Female,Lower-Mid (50K-150K),Civil Servant,4.59,Digital Wallet,4.14,9,0.263,0.185,0.115,0.885,0.793,0.619,0.51,0.96,1426,2466,2888,5200,0.72,77,Early Adopter,2025-02-25 10:21:45.996828
4219d104,Kaduna,10.5093,7.3887,Rural,55-64,Male,Mid (150K-300K),Professional,2.33,Cash,2.66,3,0.327,0.139,0.16,0.84,0.693,0.539,0.21,1.93,3459,3386,4972,4100,0.6,40,Rural Entrepreneur,2024-11-21 10:21:45.997091
19848d18,Aba,5.1877,7.2882,Rural,45-54,Male,Upper-Mid (300K-500K),Business Owner,2.86,Cash,3.33,10,0.228,0.181,0.062,0.938,0.835,0.632,0.215,5.92,3162,3693,4925,3500,0.62,93,Urban Professional,2025-01-06 10:21:45.997304
50214398,Enugu,6.36,7.4393,Urban,45-54,Male,High (500K+),Professional,3.76,Digital Wallet,2.08,23,0.19,0.093,0.068,0.932,0.816,0.533,0.29,9.41,12851,10951,17355,5200,0.72,100,Urban Professional,2024-09-26 10:21:45.997523
d072f871,Ibadan,7.3728,3.9585,Urban,25-34,Female,Upper-Mid (300K-500K),Private Employee,4.53,Digital Wallet,4.12,4,0.288,0.176,0.079,0.921,0.706,0.457,0.53,2.74,2863,5912,6954,4200,0.7,100,Early Adopter,2025-05-30 10:21:45.997755
10f6471b,Kano,12.1032,8.555,Urban,45-54,Male,Lower-Mid (50K-150K),Professional,2.88,Mobile Money,3.91,11,0.315,0.128,0.099,0.901,0.766,0.581,0.222,3.54,2213,1847,2251,3800,0.55,74,Urban Professional,2025-08-13 10:21:45.997985
df9dbd2d,Ilorin,8.4655,4.5893,Rural,25-34,Female,Low (<50K),Private Employee,3.21,Bank Transfer,3.77,2,0.233,0.172,0.068,0.932,0.832,0.504,0.374,0.24,259,323,402,4000,0.58,76,Price-Conscious Consumer,2025-01-24 10:21:45.998236
6ec0ff6f,Kaduna,10.5556,7.4802,Urban,18-24,Male,Low (<50K),Student,3.53,Mobile Money,5.0,40,0.202,0.126,0.16,0.84,0.687,0.472,0.331,0.41,1853,2566,2566,4100,0.6,81,Tech-Savvy Student,2025-01-15 10:21:45.998527
93a7b908,Lagos,6.5684,3.453,Rural,55-64,Female,Low (<50K),Business Owner,2.63,Cash,3.95,19,0.279,0.12,0.111,0.889,0.686,0.456,0.259,2.62,173,207,250,8500,0.85,67,Small Business Owner,2025-07-10 10:21:45.998758
183b1ed8,Akure,7.2824,5.1059,Rural,55-64,Female,Lower-Mid (50K-150K),Business Owner,3.72,Cash,4.89,19,0.523,0.301,0.087,0.913,0.752,0.501,0.31,2.09,862,773,789,4200,0.6,50,Small Business Owner,2025-06-22 10:21:45.998979
f8f01cc6,Port Harcourt,4.7014,7.0253,Urban,25-34,Male,Lower-Mid (50K-150K),Civil Servant,3.53,Digital Wallet,4.71,6,0.294,0.177,0.096,0.904,0.704,0.508,0.396,1.54,2808,2851,3015,7200,0.75,93,Price-Conscious Consumer,2024-11-11 10:21:45.999191
c5b1f05e,Kaduna,10.4809,7.3189,Urban,35-44,Female,Mid (150K-300K),Professional,4.2,Mobile Money,3.44,1,0.19,0.083,0.094,0.906,0.636,0.456,0.358,0.39,1396,2230,2927,4100,0.6,62,Urban Professional,2024-09-22 10:21:45.999397
bca52bb8,Enugu,6.4647,7.5521,Urban,18-24,Female,Low (<50K),Unemployed,4.48,Mobile Money,5.0,10,0.308,0.137,0.093,0.907,0.642,0.401,0.37,1.03,752,1002,1002,5200,0.72,100,Tech-Savvy Student,2025-02-23 10:21:45.999611
